Hinglish,hindi
ummiido,उम्मीदों
ummeedo,उम्मीदों
ummedo,उम्मीदों
jalegi,जलेगी
laage,लागे
iraade,इरादे
irade,इरादे
bisaraai,बिसराई
bisaraayi,बिसराई
laaj,लाज
laj,लाज
laaz,लाज
harjaai,हरजाई
harajaai,हरजाई
harajaayi,हरजाई
harjaayi,हरजाई
harajaaii,हरजाई
harzai,हरजाई
paraae,पराए
jhilamil,झिलमिल
jhilmil,झिलमिल
utar,उतर
soya,सोया
soyaa,सोया
pipal,पीपल
peepal,पीपल
piipal,पीपल
tale,तले
laadala,लाडला
ajab,अजब
tori,तोरी
toree,तोरी
torii,तोरी
dekhi,देखी
dekhii,देखी
gazab,गज़ब
bulabuliya,बुलबुलिया
huliya,हुलिया
maano,मानो
mano,मानो
paate,पाटे
mahal,महल
mahel,महल
mehal,महल
mehel,महल
mahala,महल
laharaai,लहराई
laharaayi,लहराई
leharaayi,लहराई
laharaaii,लहराई
lahraai,लहराई
lehraai,लहराई
laharai,लहराई
lehraayi,लहराई
lehrai,लहराई
lehrayi,लहराई
leharaai,लहराई
khilaaen,खिलाए
khilaaye,खिलाए
khilaae,खिलाए
daya,दया
dayaa,दया
bikata,बिकता
bikataa,बिकता
bikta,बिकता
lagaaen,लगाएँ
lagaayen,लगाएँ
lagaayein,लगाएँ
bolii,बोली
bolee,बोली
jaison,जैसों
jholi,झोली
jholii,झोली
bandon,बन्दों
bike,बिके
ganga,गंगा
gangaa,गंगा
jamuna,जमुना
jamunaa,जमुना
gahari,गहरी
gaihri,गहरी
gehri,गहरी
dhaar,धार
dhar,धार
pukaar,पुकार
pukar,पुकार
bij,बीज
beej,बीज
bichha,बिछा
bichhaa,बिछा
bicha,बिछा
nishaani,निशानी
nishani,निशानी
nishaanii,निशानी
nishanii,निशानी
kaliyon,कलियों
kaliyo,कलियों
bichhaaye,बिछाये
bichhaye,बिछाये
bichaaye,बिछाये
bichayen,बिछाये
daali,डाली
daalii,डाली
dali,डाली
daaali,डाली
taraane,तराने
tarane,तराने
murajhaaye,मुरझाये
pavaniya,पवनिया
pawaniya,पवनिया
son,सों
najariya,नजरिया
nazariya,नजरिया
najariyaa,नजरिया
gaagariya,गागरिया
gaagareeyaa,गागरिया
nagariya,नगरिया
nagariyaa,नगरिया
nagriyaan,नगरिया
bujhegi,बुझेगी
bhujegi,बुझेगी
aavein,आवें
saanvariya,साँवरिया
saanvariyaa,साँवरिया
saanwariya,साँवरिया
savariya,साँवरिया
saanwariyaan,साँवरिया
saawariya,साँवरिया
saavariyaa,साँवरिया
saawareeyaa,साँवरिया
saawareeyaan,साँवरिया
jalaaye,जलाये
jalayee,जलाये
jalaye,जलाये
chhodi,छोड़ी
chodi,छोड़ी
chhodhi,छोड़ी
sakhiyaan,सखियाँ
maarengi,मारेंगी
taane,ताने
mohe,मोहे
maari,मारी
maaree,मारी
mari,मारी
maarii,मारी
jaaegi,जाएगी
jaayegi,जाएगी
jayegi,जाएगी
jaayegee,जाएगी
jaaegii,जाएगी
jaaygi,जाएगी
jaegi,जाएगी
jaayengi,जाएगी
baavariya,बावरिया
baawariyaa,बावरिया
baavariyaa,बावरिया
bavariyaa,बावरिया
tunu,तुनु
os,ओस
hoke,होके
jahar,जहर
jehar,जहर
pine,पीने
piine,पीने
peene,पीने
hansana,हँसना
hasna,हँसना
hasana,हँसना
hansanaa,हँसना
hansna,हँसना
lukana,लुकना
chhupana,छुपना
chupana,छुपना
chupna,छुपना
chhupanaa,छुपना
hod,होड़
khulake,खुलके
laharaati,लहराती
lehraati,लहराती
lahraati,लहराती
laharaatee,लहराती
bainyaan,बैंयां
baiyan,बैंयां
taal,ताल
tal,ताल
dol,डोल
kaanon,कानों
kaano,कानों
kanhon,कानों
kanon,कानों
bol,बोल
bolu,बोल
bhoole,बोल
rasiya,रसिया
rasiyaa,रसिया
lobhi,लोभी
matalab,मतलब
matlab,मतलब
mathlab,मतलब
neh,नेह
lagaana,लगाना
lagana,लगाना
lagaanaa,लगाना
sahal,सहल
nibhaana,निभाना
nibhaanaa,निभाना
nibhana,निभाना
naazon,नाज़ों
naajon,नाज़ों
muqaddar,मुक़द्दर
muqadar,मुक़द्दर
azmana,आजमाना
aajmaana,आजमाना
aazmaana,आजमाना
azamana,आजमाना
chahta,चाहता
chahata,चाहता
chaahataa,चाहता
chaahta,चाहता
chahataa,चाहता
banana,बनाना
banaana,बनाना
banaanaa,बनाना
milao,मिलाओ
sunaana,सुनाना
sunaanaa,सुनाना
ashiyana,आशियाना
aashiyana,आशियाना
aashiyaanaa,आशियाना
ashiana,आशियाना
aashiyaana,आशियाना
aashiana,आशियाना
tanaha,तनहा
tanahaa,तनहा
aksar,अक्सर
hamdam,हमदम
hamadam,हमदम
humdam,हमदम
humdum,हमदम
humadam,हमदम
besabab,बेसबब
haadase,हादसे
bankar,बनकर
banakar,बनकर
khuddaariyon,ख़ुद्दारियों
bithaake,बिठाके
baalon,बालों
baalo,बालों
siya,सिया
siyaa,सिया
khilo,खिलो
lade,लड़े
chadhe,चढ़े
bindiya,बिंदिया
bindiyaa,बिंदिया
bindia,बिंदिया
hanse,हंसे
utaar,उतार
beet,बीत
biit,बीत
bit,बीत
iqaraar,इक़रार
iqraar,इक़रार
dal,डाल
khilne,खिलने
khilane,खिलने
lahara,लहरा
laharaa,लहरा
lahra,लहरा
lehra,लहरा
lehara,लहरा
lahraa,लहरा
pare,परे
pad,पड़
sataaye,सताये
sataye,सताये
purani,पुरानी
puraani,पुरानी
puraanee,पुरानी
puraanii,पुरानी
poorani,पुरानी
bharose,भरोसे
nazadeekiyaan,नज़दीकियाँ
nazdikiyan,नज़दीकियाँ
nazdikiyaan,नज़दीकियाँ
daaleen,डालीं
miliin,मिलीं
milin,मिलीं
mileen,मिलीं
raahen,राहें
raahein,राहें
ulfat,उल्फ़त
ulafat,उल्फ़त
fizaayen,फ़िज़ाएँ
fizaaein,फ़िज़ाएँ
fizaayein,फ़िज़ाएँ
saae,साए
milakar,मिलाकर
milakara,मिलकर
milkar,मिलकर
vaadiyaan,वादियाँ
waadiyaan,वादियाँ
waadiyaa,वादियाँ
wadiyan,वादियाँ
ummeed,उम्मीद
ummid,उम्मीद
ummiid,उम्मीद
ummed,उम्मीद
jisako,जिसको
jisko,जिसको
puraane,पुराने
purane,पुराने
bastiyaan,बस्तियाँ
badhaa,बढ़ा
jhuka,झुका
jhukaa,झुका
jalaa,जला
jaala,जला
chhupaye,छुपाये
saki,सकी
sakii,सकी
rok,रोक
rokh,रोक
nashtar,नश्तर
chubh,चुभ
chub,चुभ
gamr,गमर्
retii,रेती
reti,रेती
naazuk,नाज़ुक
nazuk,नाज़ुक
najuk,नाज़ुक
naajuk,नाज़ुक
padenge,पड़ेंगे
padhenge,पड़ेंगे
maujon,मौजों
maujo,मौजों
milegaa,मिलेगा
milega,मिलेगा
raag,राग
rag,राग
bezabaan,बेज़बाँ
lut,लुट
behalaana,बहलाना
bahalaana,बहलाना
behlaana,बहलाना
behelana,बहलाना
aavo,आवो
sataana,सताना
sataanaa,सताना
satana,सताना
rulaana,रुलाना
rulana,रुलाना
sunaaye,सुनाये
sunaye,सुनाये
khil,खिल
khila,खिल
bulbul,बुलबुल
bulabul,बुलबुल
khelen,खेलें
khelein,खेलें
micholi,मिचोली
toli,टोली
tolii,टोली
bolat,बोलत
likhe,लिखे
mitaa,मिटा
sake,सके
zakm,ज़ख़्म
zakhm,ज़ख़्म
zakham,ज़ख़्म
raaj,राज
rota,रोता
rotaa,रोता
rotha,रोता
waar,वार
vaar,वार
war,वार
naasoor,नासूर
naasuur,नासूर
pehachaan,पहचान
pehchaan,पहचान
pahachaan,पहचान
pahechaan,पहचान
pehchan,पहचान
pehchhaan,पहचान
pahchaan,पहचान
pehchhan,पहचान
pehechaan,पहचान
pahachaana,पहचान
pehechan,पहचान
ponch,पोंछ
ponchh,पोंछ
shikava,शिकवा
shikvaa,शिकवा
shikawa,शिकवा
shikavaa,शिकवा
shikawaa,शिकवा
shikwa,शिकवा
shikva,शिकवा
shikwaa,शिकवा
baaje,बाजे
chamakaana,चमकाना
aajaa,आजा
aja,आजा
ghole,घोले
dole,डोले
dolle,डोले
bhagavaan,भगवान
bhagawaan,भगवान
bhagvaan,भगवान
bhagwaan,भगवान
anjaan,अन्जान
anajaan,अन्जान
baap,बाप
vidhaata,विधाता
vidhaataa,विधाता
widhaataa,विधाता
jinse,जिनसे
jinase,जिनसे
thamkar,थामकर
kaandhe,कांधे
baithke,बैठके
upkaar,उपकार
upakaar,उपकार
upkar,उपकार
bataana,बताना
bataanaa,बताना
batana,बताना
santaan,संतान
loriyan,लोरियां
loriyaan,लोरियां
bunti,बुनती
bunati,बुनती
prabhu,प्रभू
prabhuu,प्रभू
aapse,आपसे
aapase,आपसे
vardaan,वरदान
varadaan,वरदान
wardaan,वरदान
waradaan,वरदान
vardan,वरदान
hokar,होकर
param,परम
prarthna,प्रार्थना
praarthana,प्रार्थना
praarthanaa,प्रार्थना
chhaya,छाया
chhaayaa,छाया
chhaaya,छाया
chaya,छाया
chaaya,छाया
chahya,छाया
rehti,रहती
rahti,रहती
rahati,रहती
rehati,रहती
rehethi,रहती
rahatii,रहती
raheti,रहती
rehthi,रहती
reheti,रहती
talak,तलक
salaamat,सलामत
salamat,सलामत
salaamata,सलामत
sabke,सबके
sabake,सबके
sabhke,सबके
pehchaane,पहचाने
pahachaane,पहचाने
pehachaane,पहचाने
pahchane,पहचाने
pehchane,पहचाने
pahechaane,पहचाने
hindu,हिन्दू
hinduu,हिन्दू
musalmaan,मुसलमाँ
bujurgon,बुजुर्गों
buzurgon,बुजुर्गों
socho,सोचो
sochon,सोचो
doobe,डूबे
duube,डूबे
dube,डूबे
dubey,डूबे
baantate,बाँटते
saaz,साज़
saz,साज़
rahmaan,रहमान
rehman,रहमान
rahamaan,रहमान
kartaar,करतार
karataar,करतार
shahzaadon,शहज़ादों
naitaaon,नेताओं
netaaon,नेताओं
lagaayee,लगाईं
ajantaa,अजन्ता
ajanta,अजन्ता
taaj,ताज
taj,ताज
amar,अमर
amara,अमर
jaani,जानी
jaanii,जानी
jani,जानी
zindaa,ज़िन्दा
zinda,ज़िन्दा
jhukaayaa,झुकाया
jhukaaya,झुकाया
jhukaya,झुकाया
inki,इनकी
inaki,इनकी
inakii,इनकी
inke,इनकी
bachaaye,बचाए
bachaye,बचाए
bachaae,बचाए
karni,करनी
karani,करनी
bevafaai,बेवफ़ाई
bewafaai,बेवफ़ाई
bewafaee,बेवफ़ाई
bewafai,बेवफ़ाई
bewafaayi,बेवफ़ाई
bewafayi,बेवफ़ाई
bevafaaii,बेवफ़ाई
bevafaayi,बेवफ़ाई
duhaai,दुहाई
duhai,दुहाई
duhaayi,दुहाई
duhaaii,दुहाई
duhaiyi,दुहाई
iraadaa,इरादा
iraada,इरादा
irada,इरादा
sauda,सौदा
saadha,सादा
saada,सादा
saadaa,सादा
pahchaanane,पहचानने
pahachaanane,पहचानने
maanane,मानने
maanne,मानने
daada,दादा
dada,दादा
guru,गुरू
guruu,गुरू
allaah,अल्लाह
allah,अल्लाह
allaaah,अल्लाह
allaa,अल्लाह
baaba,बाबा
baba,बाबा
baabaa,बाबा
inkaar,इन्कार
daalo,डालो
dalo,डालो
ikdam,इकदम
maangega,मांगेगा
pahuncha,पहुँचा
pahunchaa,पहुँचा
karega,करेगा
karegaa,करेगा
jaadugar,जादूगर
jaaduugar,जादूगर
jadugar,जादूगर
jaadoogar,जादूगर
yara,यारा
yaaraan,यारा
bekraari,बेकरारी
bekaaraari,बेकरारी
bekaraarii,बेकरारी
dare,डरे
darre,डरे
hamaraahi,हमराही
hamraahi,हमराही
humraahi,हमराही
hamaraahii,हमराही
humrahi,हमराही
hamrahi,हमराही
sotaa,सोता
sota,सोता
soota,सोता
chhutii,छुटी
savere,सवेरे
sawere,सवेरे
saverey,सवेरे
anokhe,अनोखे
uthen,उठें
uthein,उठें
ghabaraaye,घबराये
ghabraye,घबराये
ghabraaye,घबराये
ghabaraye,घबराये
churaaye,चुराये
churaye,चुराये
dukhiyaa,दुखिया
dukhiya,दुखिया
tuutakar,टूटकर
roye,रोये
dhadakanen,धड़कनें
tanahaai,तनहाई
tanahaaii,तनहाई
tanahaayi,तनहाई
chahoge,चाहोगे
chaahoge,चाहोगे
ikraar,इकरार
ikaraar,इकरार
ikrar,इकरार
meherbaani,मेहरबानी
meharabaani,मेहरबानी
meharabaanee,मेहरबानी
meharbani,मेहरबानी
meharbaani,मेहरबानी
meharabaanii,मेहरबानी
meherbani,मेहरबानी
narmi,नर्मी
chhaain,छाईं
havayein,हवाएं
havaaein,हवाएं
havaaen,हवाएं
hawaein,हवाएं
hawaien,हवाएं
hawayen,हवाएं
hawaaein,हवाएं
hawaaen,हवाएं
havaein,हवाएं
hawaen,हवाएं
bekaaboo,बेकाबू
hairaan,हैरान
hairaa,हैरान
hairan,हैरान
bulaane,बुलाने
bulane,बुलाने
un,उन
unn,उन
aadaat,आदात
dukhaane,दुखाने
deedaa,दीदा
didaa,दीदा
pattaa,पत्ता
bootaa,बूटा
boota,बूटा
butaa,बूटा
gunaah,गुनाह
gunaaha,गुनाह
gunah,गुनाह
khaatir,खातिर
khatir,खातिर
gul,गुल
gool,गुल
khilenge,खिलेंगे
khilengey,खिलेंगे
aandhiyaan,आँधियाँ
baandhege,बाँधेंगे
baandhenge,बाँधेंगे
aashiyaan,आशियाँ
aashiyan,आशियाँ
aashiyaa,आशियाँ
giraye,गिराए
giraaye,गिराए
giraae,गिराए
kaante,काँटे
kante,काँटे
bichhaae,बिछाए
dikhalaayenge,दिखलाएंगे
dikhlayenge,दिखलाएंगे
dilon,दिलों
dilion,दिलों
aaine,आईने
aayne,आईने
palken,पलकें
palake,पलकें
palke,पलकें
palakein,पलकें
palaken,पलकें
palkein,पलकें
palkain,पलकें
palakee,पलकें
palkhein,पलकें
haya,हया
hayaa,हया
bekararon,बेक़रारों
beqaraaron,बेक़रारों
beqararon,बेक़रारों
dekar,देकर
dardmando,दर्दमन्दों
mange,माँगे
badhe,बढ़े
aahon,आहों
banavaari,बनवारी
banawaari,बनवारी
banawaarii,बनवारी
vaalon,वालों
waalo,वालों
walo,वालों
walon,वालों
jhuthe,झूठे
jhute,झूठे
kaayaa,काया
kaaya,काया
giridhar,गिरिधर
ekataaraa,एकतारा
dhaam,धाम
charanon,चरणों
charnon,चरणों
charno,चरणों
jagaaye,जगाये
jagaye,जगाये
pakad,पकड़
khilanaa,खिलना
khilana,खिलना
khilna,खिलना
unape,उनपे
unpe,उनपे
nisaar,निसार
nisar,निसार
tode,तोड़े
todey,तोड़े
chhode,छोड़े
chode,छोड़े
paati,पाती
paatee,पाती
bhaage,भागे
kaamosh,ख़ामोश
khaamosh,ख़ामोश
khamosh,ख़ामोश
jalate,जलते
jalte,जलते
aahen,आहें
ahein,आहें
paimaanaa,पैमाना
paimaana,पैमाना
paymaana,पैमाना
mitaaya,मिटाया
mitaayaa,मिटाया
mitaya,मिटाया
hansaaya,हँसाया
rulaaya,रुलाया
rulaya,रुलाया
jalaaya,जलाया
jalaayaa,जलाया
jalaya,जलाया
bujhaaya,बुझाया
bujhaayaa,बुझाया
rusavaai,रुसवाई
rusawaai,रुसवाई
rusavaayi,रुसवाई
rusavaaii,रुसवाई
rusvaai,रुसवाई
ruswaai,रुसवाई
rusavaaee,रुसवाई
ruswai,रुसवाई
umade,उमडे
ashqon,अश्क़ों
chhupaaya,छुपाया
chhupaya,छुपाया
chhupaayaa,छुपाया
chupaya,छुपाया
chupaaya,छुपाया
tark,तर्क
garebaan,गरेबाँ
sochataa,सोचता
sochta,सोचता
sochata,सोचता
sochtaa,सोचता
sochtha,सोचता
rahataa,रहता
rehta,रहता
rahata,रहता
rehata,रहता
rahta,रहता
raheta,रहता
rehtha,रहता
rahtaa,रहता
tamanaa,तमना
sahaare,सहारे
sehare,सहारे
sahare,सहारे
sahaaree,सहारे
ghadiyaan,घड़ियाँ
ghadiyan,घड़ियाँ
ghadiya,घड़ियाँ
gaadiyan,गाड़ियां
gadiya,गाड़ियां
khokar,खोकर
bekaar,बेकार
baykar,बेकार
bekar,बेकार
sah,सह
seh,सह
bhulaayaa,भुलाया
bhulaaya,भुलाया
bhulaya,भुलाया
garadan,गरदन
gardan,गरदन
gardn,गरदन
uthaayaa,उठाया
uthaaya,उठाया
uthaya,उठाया
uthhaaya,उठाया
uthhaayaa,उठाया
bigadtee,बिगड़ती
bigadatii,बिगड़ती
bigadati,बिगड़ती
bigadti,बिगड़ती
roj,रोज
ladtee,लड़ती
ladti,लड़ती
ladati,लड़ती
gusse,ग़ुस्से
behad,बेहद
chehare,चेहरे
chehre,चेहरे
chehere,चेहरे
chehrey,चेहरे
motee,मोती
motii,मोती
moti,मोती
mooti,मोती
nikalega,निकलेगा
nikalegaa,निकलेगा
jaagate,जागते
jaagte,जागते
jaagtey,जागते
sote,सोते
guzar,गुज़र
laayega,लायेगा
dekhane,देखने
dekhne,देखने
dekhney,देखने
jaayegii,जायेगी
sahar,सहर
saher,सहर
sehar,सहर
seher,सहर
phul,फूल
fool,फूल
ful,फूल
mahakenge,महकेंगे
jhum,झूम
jhuum,झूम
jhumm,झूम
laharaayega,लहरायेगा
musaafir,मुसाफ़िर
musafir,मुसाफ़िर
mussafir,मुसाफ़िर
manjil,मंजिल
qaafilen,क़ाफ़िलें
yaqeen,यक़ीं
yaqiin,यक़ीं
yaqin,यक़ीं
jannat,जन्नत
shabaab,शबाब
khaamoshiyaan,खामोशियां
halaki,हलकी
halki,हलकी
halkee,हलकी
halakii,हलकी
itan,इतन
bataaye,बताये
dikhaaye,दिखाये
dikaaye,दिखाये
akhiyon,अखियों
ankhiyon,अखियों
aakhiyon,अखियों
asuvan,असुवन
jalaaun,जलाऊँ
jalaayuun,जलाऊँ
jalaauun,जलाऊँ
jalaoon,जलाऊँ
jalaaoon,जलाऊँ
maare,मारे
mare,मारे
laagi,लागी
laagii,लागी
laagee,लागी
guzaare,गुज़ारे
guzaaren,गुज़ारे
daraaye,डराये
maaro,मारो
pichakaari,पिचकारी
pichkaari,पिचकारी
pichakaarii,पिचकारी
chunariya,चुनरिया
chunariyaa,चुनरिया
chunaariya,चुनरिया
daaro,डारो
shaama,शामा
jvaala,ज्वाला
jwaalaa,ज्वाला
jwaala,ज्वाला
jvaalaa,ज्वाला
jwala,ज्वाला
kit,कित
kaah,काह
kaanha,कान्हा
kaanhaa,कान्हा
kanha,कान्हा
chhil,छिल
holi,होली
holii,होली
baali,बाली
balee,बाली
baalii,बाली
baalee,बाली
bali,बली
umariya,उमरिया
umariyaa,उमरिया
umareeyaan,उमरिया
malana,मलना
laal,लाल
lal,लाल
kesari,केसरी
peela,पीला
weh,वह
khelane,खेलने
aarmano,अर्मानों
pichakari,पिचकरी
vaari,वारी
waari,वारी
vari,वारी
wari,वारी
waaree,वारी
andheri,अँधेरी
andherii,अँधेरी
andheree,अँधेरी
leke,लेके
leki,लेके
qaraar,क़रार
qarar,क़रार
havaale,हवाले
hawaale,हवाले
hawaley,हवाले
hawale,हवाले
havale,हवाले
painyyaa,पैंय्या
neendiya,निन्दिया
baamulaahija,बामुलाहिजा
hoshiyaar,होशियार
hoshiyar,होशियार
lutane,लुटने
lutne,लुटने
surama,सुरमा
suramaa,सुरमा
surma,सुरमा
dilli,दिल्ली
dilavaalon,दिलवालों
dilwalon,दिलवालों
dilawaalo,दिलवालों
chha,छा
chaa,छा
cha,छा
subahaan,सुबहान
firadaus,फ़िरदौस
firdaus,फ़िरदौस
bararue,बररुए
aashiqon,आशिक़ों
aashiqko,आशिक़ों
saradaar,सरदार
aavaara,आवारा
aawara,आवारा
awara,आवारा
aawaara,आवारा
aawaaraa,आवारा
aavaaraa,आवारा
awaara,आवारा
nazaara,नज़ारा
nazara,नज़ारा
najaaraa,नज़ारा
nazaaraa,नज़ारा
najaara,नज़ारा
raqeeb,रक़ीब
qareeb,क़रीब
taareef,तारीफ़
taarif,तारीफ़
tareef,तारीफ़
taariif,तारीफ़
tarif,तारीफ़
aashiq,आशिक़
ashiq,आशिक़
gariib,ग़रीब
garib,ग़रीब
gairon,ग़ैरों
gairo,ग़ैरों
kadaradaani,कदरदानी
naadaani,नादानी
nadani,नादानी
naadaanii,नादानी
naadaanee,नादानी
naadani,नादानी
naadaan,नादां
nadan,नादां
todo,तोड़ो
samajhaao,समझाओ
samjhao,समझाओ
samjaao,समझाओ
samajhaayo,समझाओ
samjhaao,समझाओ
peekar,पीकर
piikar,पीकर
pikar,पीकर
dekhana,देखना
dekhnaaa,देखना
dekhanaa,देखना
dehkna,देखना
padati,पड़ती
padatii,पड़ती
padti,पड़ती
zanjeer,ज़ंजीर
zanjir,ज़ंजीर
zanjiir,ज़ंजीर
zanzeer,ज़ंजीर
kisake,किसके
kiske,किसके
bala,बला
balaa,बला
bhala,भला
takara,टकरा
takaraa,टकरा
takra,टकरा
takraa,टकरा
sunaaya,सुनाया
sunaya,सुनाया
sunaayaa,सुनाया
gaana,गाना
gana,गाना
gaanaa,गाना
bujhaakar,बुझाकर
bujhakar,बुझाकर
chirag,चिराग़
chiraagh,चिराग़
adayen,अदाएँ
adaayen,अदाएँ
adaaen,अदाएँ
pardesi,परदेसी
paradesi,परदेसी
paradesee,परदेसी
paradesii,परदेसी
izhaar,इज़हार
izahaar,इज़हार
izhar,इज़हार
izahar,इज़हार
gawaara,गवारा
gavaaraa,गवारा
gawaaraa,गवारा
gavara,गवारा
gavaara,गवारा
gawara,गवारा
paana,पाना
paanaa,पाना
pana,पाना
paayega,पाएगा
paaegaa,पाएगा
payega,पाएगा
khoyega,खोएगा
jaanega,जानेगा
tumsa,तुमसा
tumasa,तुमसा
dusra,दूसरा
doosra,दूसरा
dusaraa,दूसरा
dusara,दूसरा
duusara,दूसरा
doosara,दूसरा
duusaraa,दूसरा
doosaraa,दूसरा
taraf,तरफ़
gair,ग़ैर
qayaamat,क़यामत
qayamat,क़यामत
faasle,फ़ासले
faasale,फ़ासले
faasaley,फ़ासले
aayina,आईना
deewaangi,दीवानगी
deewangi,दीवानगी
deevaanagi,दीवानगी
deewaanagee,दीवानगी
deevaangi,दीवानगी
divaanagi,दीवानगी
diwangi,दीवानगी
deewaanagi,दीवानगी
diwaangi,दीवानगी
deewangee,दीवानगी
diwaanagi,दीवानगी
diwaanagee,दीवानगी
diwanagi,दीवानगी
deewanagi,दीवानगी
diivaanagii,दीवानगी
chuna,छूना
chhuna,छूना
adhinaayak,अधिनायक
bhaarat,भारत
bharat,भारत
bahrat,भारत
bhaagy,भाग्य
punjaab,पंजाब
panjaab,पंजाब
sindh,सिंध
gujaraat,गुजरात
gujarat,गुजरात
dravid,द्रविड़
utkal,उत्कल
bang,बंग
vindhy,विंध्य
himaanchal,हिमाँचल
uchchhal,उच्छल
tarang,तरंग
naame,नामे
fasaane,फ़साने
fasane,फ़साने
maasoom,मासूम
masoom,मासूम
maasum,मासूम
maasuum,मासूम
maasom,मासूम
masum,मासूम
ilzaam,इलज़ाम
ilazaam,इलज़ाम
lagaane,लगाने
lagane,लगाने
inasaan,इनसान
insan,इनसान
dikhaaoongaa,दिखाऊँगा
dikhaaoonga,दिखाऊँगा
begunaahee,बेगुनाही
begunaahi,बेगुनाही
rulaaoongaa,रुलाऊँगा
be,बे
kafan,कफ़न
ruke,रुके
inhein,इन्हें
baha,बहा
bahaa,बहा
aayegee,आयेगी
aayegii,आयेगी
tujhamein,तुझमें
tujhmein,तुझमें
tujhamen,तुझमें
phuutegi,फूटेगी
sakate,सकते
sakte,सकते
muskaraate,मुस्कराते
muskuraate,मुस्कराते
muskurate,मुस्कराते
taang,टांग
taanga,टांग
daan,दान
beemaar,बीमार
biimaar,बीमार
bimaar,बीमार
chhide,छिड़े
baarood,बारूद
baaruud,बारूद
barood,बारूद
gharon,घरों
soe,सोए
sabaki,सबकी
sabakii,सबकी
sabki,सबकी
sabhki,सबकी
raakhi,राखी
baisaakhi,बैसाखी
baisakhi,बैसाखी
koob,ख़ूब
guzarata,गुज़रता
guzarataa,गुज़रता
guzarta,गुज़रता
guzartha,गुज़रता
baazaaron,बाज़ारों
bazaaron,बाज़ारों
jhaankate,झाँकते
kudi,कुड़ी
karati,करती
karti,करती
karatii,करती
krti,करती
chalan,चलन
pind,पिंड
dikhala,दिखला
dikhalaa,दिखला
dikhla,दिखला
dikhlaa,दिखला
qurbaani,क़ुर्बानी
inhiin,इन्हीं
inhin,इन्हीं
inheen,इन्हीं
mauqa,मौक़ा
mauqaa,मौक़ा
goli,गोली
golii,गोली
shera,शेरा
sheraa,शेरा
bik,बिक
karza,कर्ज़ा
chuka,चुका
chukaa,चुका
suney,सुने
samajhaayaa,समझाया
samjhayaaa,समझाया
samjhaaya,समझाया
samajhaaya,समझाया
samajhaya,समझाया
kaab,ख़ाब
diivaanon,दीवानों
diwaanon,दीवानों
deewano,दीवानों
deevaanon,दीवानों
deewanon,दीवानों
divaano,दीवानों
divaanon,दीवानों
dewaano,दीवानों
deewaano,दीवानों
deewaanon,दीवानों
dewaanon,दीवानों
inaayat,इनायत
inayat,इनायत
ibaadat,इबादत
puujaa,पूजा
pooja,पूजा
poojaa,पूजा
puja,पूजा
puuja,पूजा
pujaa,पूजा
machal,मचल
janmon,जन्मों
janamon,जन्मों
nadaan,नादान
naadan,नादान
naadaann,नादान
roke,रोके
rokhey,रोके
rokey,रोके
baandhe,बाँधे
bandhe,बाँधे
iskaa,इसका
isaka,इसका
iska,इसका
isakaa,इसका
jaagen,जागें
tufan,तूफ़ाँ
phisal,फिसल
fisal,फिसल
qusoor,क़ुसूर
qusur,क़ुसूर
qusuur,क़ुसूर
taqdeer,तक़दीर
taqadir,तक़दीर
taqadeer,तक़दीर
taqadiir,तक़दीर
takadir,तक़दीर
ruu,रू
ru,रू
chi,चि
milaanaa,मिलाना
milaana,मिलाना
kisiise,किसीसे
kisise,किसीसे
gussaa,गुस्सा
gussa,गुस्सा
humei,हमे
isape,इसपे
ispe,इसपे
aashikaanaa,आशिकाना
aashikaana,आशिकाना
mizaaz,मिज़ाज़
chaahatii,चाहती
chaahti,चाहती
chahti,चाहती
sakti,सकती
sakati,सकती
sakatii,सकती
inakaar,इनकार
inkar,इनकार
darti,डरती
darati,डरती
darrti,डरती
kadar,कदर
chhaatii,छाती
chaati,छाती
chhaati,छाती
bulaaye,बुलाए
bulaye,बुलाए
bulaae,बुलाए
bulae,बुलाए
jhuumatii,झूमती
jhoomti,झूमती
jhuumati,झूमती
jhoomati,झूमती
jhumati,झूमती
jumti,झूमती
chanchal,चंचल
chanchaal,चंचल
gudagudaae,गुदगुदाए
gudagudaaye,गुदगुदाए
haule,हौले
haulle,हौले
hole,हौले
sunaae,सुनाए
jagaae,जगाए
dikhaae,दिखाए
uthaatii,उठाती
uthati,उठाती
uthaati,उठाती
hansake,हँसके
hanske,हँसके
hasake,हँसके
haske,हँसके
dekhatii,देखती
dekhti,देखती
dekhati,देखती
dekti,देखती
muurat,मूरत
moorat,मूरत
murat,मूरत
murath,मूरत
banaatii,बनाती
banaati,बनाती
chhede,छेड़े
chede,छेड़े
jagamagaatii,जगमगाती
jagamagaati,जगमगाती
jagamagati,जगमगाती
jagmagati,जगमगाती
jagmagaati,जगमगाती
diiwaanii,दीवानी
sambhavna,संभावना
sambhaavna,संभावना
pataane,पटाने 
patane,पटाने 
diivaani,दीवानी
deewaani,दीवानी
divaani,दीवानी
deevani,दीवानी
diwaani,दीवानी
deewani,दीवानी
diwani,दीवानी
deevaani,दीवानी
diivaanii,दीवानी
divaanii,दीवानी
diwaanee,दीवानी
deevaanii,दीवानी
deeewani,दीवानी
divanee,दीवानी
chhedi,छेड़ी
kahaniyan,कहानियाँ
